alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    21.60 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.000000E+00,     1.627492E+00,     1.647338E+00,     1.653208E+00,     1.655820E+00,     1.657135E+00,     1.657824E+00,     1.658178E+00,     1.658342E+00,     1.658393E+00,     1.658376E+00,
  5.000000E-01,     1.000000E+00,     1.629209E+00,     1.647742E+00,     1.653363E+00,     1.655892E+00,     1.657172E+00,     1.657842E+00,     1.658187E+00,     1.658345E+00,     1.658394E+00,     1.658374E+00,
  1.000000E+00,     1.000000E+00,     1.633073E+00,     1.648778E+00,     1.653764E+00,     1.656079E+00,     1.657266E+00,     1.657891E+00,     1.658210E+00,     1.658354E+00,     1.658393E+00,     1.658368E+00,
  1.500000E+00,     1.000000E+00,     1.637827E+00,     1.650334E+00,     1.654382E+00,     1.656370E+00,     1.657414E+00,     1.657967E+00,     1.658247E+00,     1.658367E+00,     1.658392E+00,     1.658358E+00,
  2.000000E+00,     1.000000E+00,     1.641911E+00,     1.652252E+00,     1.655174E+00,     1.656747E+00,     1.657607E+00,     1.658066E+00,     1.658293E+00,     1.658383E+00,     1.658390E+00,     1.658344E+00,
  2.500000E+00,     1.000000E+00,     1.643674E+00,     1.654348E+00,     1.656089E+00,     1.657191E+00,     1.657835E+00,     1.658182E+00,     1.658347E+00,     1.658400E+00,     1.658384E+00,     1.658324E+00,
  3.000000E+00,     1.000000E+00,     1.641445E+00,     1.656426E+00,     1.657066E+00,     1.657675E+00,     1.658086E+00,     1.658310E+00,     1.658405E+00,     1.658416E+00,     1.658374E+00,     1.658298E+00,
  3.500000E+00,     1.000000E+00,     1.633503E+00,     1.658303E+00,     1.658047E+00,     1.658175E+00,     1.658346E+00,     1.658441E+00,     1.658462E+00,     1.658429E+00,     1.658359E+00,     1.658265E+00,
  4.000000E+00,     1.000000E+00,     1.618037E+00,     1.659814E+00,     1.658974E+00,     1.658664E+00,     1.658603E+00,     1.658569E+00,     1.658514E+00,     1.658435E+00,     1.658336E+00,     1.658224E+00,
  4.500000E+00,     1.000000E+00,     1.593186E+00,     1.660818E+00,     1.659798E+00,     1.659117E+00,     1.658843E+00,     1.658686E+00,     1.658557E+00,     1.658432E+00,     1.658304E+00,     1.658173E+00,
  5.000000E+00,     1.000000E+00,     1.557303E+00,     1.661192E+00,     1.660476E+00,     1.659512E+00,     1.659054E+00,     1.658784E+00,     1.658586E+00,     1.658416E+00,     1.658261E+00,     1.658112E+00,
  5.500000E+00,     1.000000E+00,     1.509512E+00,     1.660818E+00,     1.660981E+00,     1.659830E+00,     1.659223E+00,     1.658857E+00,     1.658596E+00,     1.658387E+00,     1.658205E+00,     1.658040E+00,
  6.000000E+00,     1.000000E+00,     1.450509E+00,     1.659563E+00,     1.661291E+00,     1.660058E+00,     1.659343E+00,     1.658898E+00,     1.658584E+00,     1.658339E+00,     1.658135E+00,     1.657955E+00,
  6.500000E+00,     1.000000E+00,     1.383253E+00,     1.657253E+00,     1.661397E+00,     1.660185E+00,     1.659405E+00,     1.658902E+00,     1.658547E+00,     1.658273E+00,     1.658049E+00,     1.657856E+00,
  7.000000E+00,     1.000000E+00,     1.312902E+00,     1.653640E+00,     1.661298E+00,     1.660207E+00,     1.659404E+00,     1.658866E+00,     1.658481E+00,     1.658185E+00,     1.657946E+00,     1.657743E+00,
  7.500000E+00,     1.000000E+00,     1.245533E+00,     1.648369E+00,     1.660998E+00,     1.660124E+00,     1.659338E+00,     1.658787E+00,     1.658384E+00,     1.658074E+00,     1.657824E+00,     1.657615E+00,
  8.000000E+00,     1.000000E+00,     1.186192E+00,     1.640937E+00,     1.660501E+00,     1.659939E+00,     1.659206E+00,     1.658663E+00,     1.658257E+00,     1.657940E+00,     1.657685E+00,     1.657471E+00,
  8.500000E+00,     1.000000E+00,     1.137534E+00,     1.630657E+00,     1.659810E+00,     1.659659E+00,     1.659009E+00,     1.658495E+00,     1.658096E+00,     1.657781E+00,     1.657526E+00,     1.657312E+00,
  9.000000E+00,     1.000000E+00,     1.099796E+00,     1.616635E+00,     1.658924E+00,     1.659292E+00,     1.658752E+00,     1.658283E+00,     1.657904E+00,     1.657598E+00,     1.657347E+00,     1.657138E+00,
  9.500000E+00,     1.000000E+00,     1.071661E+00,     1.597779E+00,     1.657829E+00,     1.658850E+00,     1.658439E+00,     1.658029E+00,     1.657681E+00,     1.657391E+00,     1.657150E+00,     1.656948E+00,
  1.000000E+01,     1.000000E+00,     1.051215E+00,     1.572865E+00,     1.656493E+00,     1.658344E+00,     1.658076E+00,     1.657737E+00,     1.657428E+00,     1.657162E+00,     1.656935E+00,     1.656742E+00,
  1.050000E+01,     1.000000E+00,     1.036578E+00,     1.540720E+00,     1.654862E+00,     1.657784E+00,     1.657671E+00,     1.657411E+00,     1.657148E+00,     1.656910E+00,     1.656702E+00,     1.656523E+00,
  1.100000E+01,     1.000000E+00,     1.026176E+00,     1.500526E+00,     1.652848E+00,     1.657181E+00,     1.657230E+00,     1.657054E+00,     1.656843E+00,     1.656639E+00,     1.656453E+00,     1.656290E+00,
  1.150000E+01,     1.000000E+00,     1.018801E+00,     1.452262E+00,     1.650318E+00,     1.656544E+00,     1.656762E+00,     1.656673E+00,     1.656517E+00,     1.656349E+00,     1.656189E+00,     1.656045E+00,
  1.200000E+01,     1.000000E+00,     1.013566E+00,     1.397156E+00,     1.647083E+00,     1.655878E+00,     1.656274E+00,     1.656270E+00,     1.656172E+00,     1.656044E+00,     1.655912E+00,     1.655788E+00,
  1.250000E+01,     1.000000E+00,     1.009838E+00,     1.337879E+00,     1.642875E+00,     1.655184E+00,     1.655774E+00,     1.655853E+00,     1.655813E+00,     1.655726E+00,     1.655623E+00,     1.655522E+00,
  1.300000E+01,     1.000000E+00,     1.007172E+00,     1.278201E+00,     1.637327E+00,     1.654463E+00,     1.655267E+00,     1.655425E+00,     1.655442E+00,     1.655396E+00,     1.655324E+00,     1.655247E+00,
  1.350000E+01,     1.000000E+00,     1.005255E+00,     1.222083E+00,     1.629949E+00,     1.653704E+00,     1.654759E+00,     1.654992E+00,     1.655064E+00,     1.655059E+00,     1.655018E+00,     1.654965E+00,
  1.400000E+01,     1.000000E+00,     1.003869E+00,     1.172609E+00,     1.620100E+00,     1.652895E+00,     1.654256E+00,     1.654558E+00,     1.654681E+00,     1.654716E+00,     1.654706E+00,     1.654678E+00,
  1.450000E+01,     1.000000E+00,     1.002861E+00,     1.131362E+00,     1.606973E+00,     1.652010E+00,     1.653761E+00,     1.654127E+00,     1.654297E+00,     1.654370E+00,     1.654390E+00,     1.654387E+00,
  1.500000E+01,     1.000000E+00,     1.002124E+00,     1.098475E+00,     1.589600E+00,     1.651013E+00,     1.653277E+00,     1.653702E+00,     1.653915E+00,     1.654024E+00,     1.654073E+00,     1.654094E+00,
  1.550000E+01,     1.000000E+00,     1.001582E+00,     1.073109E+00,     1.566900E+00,     1.649853E+00,     1.652805E+00,     1.653287E+00,     1.653538E+00,     1.653679E+00,     1.653756E+00,     1.653800E+00,
  1.600000E+01,     1.000000E+00,     1.001181E+00,     1.053986E+00,     1.537803E+00,     1.648456E+00,     1.652346E+00,     1.652884E+00,     1.653168E+00,     1.653339E+00,     1.653440E+00,     1.653507E+00,
  1.650000E+01,     1.000000E+00,     1.000884E+00,     1.039780E+00,     1.501488E+00,     1.646720E+00,     1.651898E+00,     1.652496E+00,     1.652808E+00,     1.653004E+00,     1.653129E+00,     1.653217E+00,
  1.700000E+01,     1.000000E+00,     1.000663E+00,     1.029319E+00,     1.457719E+00,     1.644504E+00,     1.651458E+00,     1.652122E+00,     1.652458E+00,     1.652677E+00,     1.652822E+00,     1.652931E+00,
  1.750000E+01,     1.000000E+00,     1.000497E+00,     1.021648E+00,     1.407236E+00,     1.641617E+00,     1.651022E+00,     1.651766E+00,     1.652121E+00,     1.652359E+00,     1.652522E+00,     1.652650E+00,
  1.800000E+01,     1.000000E+00,     1.000373E+00,     1.016030E+00,     1.352007E+00,     1.637801E+00,     1.650581E+00,     1.651426E+00,     1.651798E+00,     1.652051E+00,     1.652230E+00,     1.652376E+00,
  1.850000E+01,     1.000000E+00,     1.000280E+00,     1.011913E+00,     1.295106E+00,     1.632709E+00,     1.650125E+00,     1.651104E+00,     1.651490E+00,     1.651755E+00,     1.651947E+00,     1.652109E+00,
  1.900000E+01,     1.000000E+00,     1.000210E+00,     1.008889E+00,     1.240096E+00,     1.625887E+00,     1.649638E+00,     1.650799E+00,     1.651196E+00,     1.651471E+00,     1.651673E+00,     1.651851E+00,
